Keyword,Rank,Name,OriginalPrice,DiscountPrice,FinalPrice,RocketBadge,Arrival,FreeShipping,ReviewCount,Points,StockStatus,Link,ImgUrl
키링,7,"프리미엄 자동차 키링 키홀더 스트랩 가방 키링, 그린, 1개","17,500원","9,900원","9,900원",로켓배송,도착 보장,N,,480원,,https://www.coupang.com/vp/products/8821314389?itemId=25707943795&vendorItemId=92830576097&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=12&rank=12,
키링,8,"생활양식 1+1 자동차 명품 가죽 키링 브라운, 2개","13,000원","4,400원","4,400원",,도착 예정,Y,,440원,,https://www.coupang.com/vp/products/1228382406?itemId=2220723945&vendorItemId=70218413472&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=13&rank=13,
키링,9,버블리데이 소풍가는 갸우뚱 오리 키링,,"3,240원","3,240원",로켓배송,도착 보장,Y,,162원,,https://www.coupang.com/vp/products/6869190251?itemId=16427144336&vendorItemId=90131748924&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=14&rank=14,
키링,10,산리오 정품 키티실버키링 실버키티 키티 키링 10cm,,"9,900원","9,900원",로켓배송,도착 보장,N,,495원,,https://www.coupang.com/vp/products/9014454153?itemId=26426739400&vendorItemId=93421041579&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=15&rank=15,
키링,16,"패링치즈 귀여운 헬스 키링 열쇠고리, 1개, 헬스바이올렛","19,800원","9,900원","9,900원",로켓배송,도착 보장,N,,495원,,https://www.coupang.com/vp/products/9021783720?itemId=26453206261&vendorItemId=93428620847&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=16&rank=16,
키링,17,"iiGEN 몬스터 인형 키링, 7cm, 랜덤발송, 24개","48,000원","30,000원","30,000원",로켓배송,도착 보장,Y,,"1,500원",,https://www.coupang.com/vp/products/8151341930?itemId=23198251859&vendorItemId=90409827183&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=17&rank=17,
키링,18,"씨엔드에치 드래곤길들이기 투슬리스 가방고리 봉제인형, 12cm, 혼합색상, 1개",,"7,730원","7,730원",로켓배송,도착 보장,Y,,386원,,https://www.coupang.com/vp/products/4360453137?itemId=5127721085&vendorItemId=72437180571&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=18&rank=18,
키링,19,귀여운 강아지 고리 인형 키링 가방 장식,"14,100원","4,510원","4,510원",로켓배송,도착 보장,N,,225원,,https://www.coupang.com/vp/products/8351901905?itemId=24129684539&vendorItemId=91433554900&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=19&rank=19,
키링,,"아이끌레 베베 오리 인형 키링 2종 세트, 13cm, 화이트, 옐로우, 1세트",,"4,900원","4,900원",로켓배송,도착 보장,Y,,245원,,https://www.coupang.com/vp/products/8709829960?itemId=25294703691&vendorItemId=92290056591&sourceType=srp_product_ads&clickEventId=16a88810-bf83-11f0-932f-3773dab65ce7&korePlacement=15&koreSubPlacement=21&clickEventId=16a88810-bf83-11f0-932f-3773dab65ce7&korePlacement=15&koreSubPlacement=21,
키링,,"야채과일키링 양모펠트 열쇠고리 가방꾸미기템 가성비선물템 백참 키홀더, 납작복숭아, 1개","13,000원","10,800원","10,800원",로켓배송,도착 보장,N,,540원,,https://www.coupang.com/vp/products/8723519632?itemId=25341216395&vendorItemId=90822911700&sourceType=srp_product_ads&clickEventId=16a88810-bf83-11f0-a6ee-300393a898cc&korePlacement=15&koreSubPlacement=22&clickEventId=16a88810-bf83-11f0-a6ee-300393a898cc&korePlacement=15&koreSubPlacement=22,
키링,22,"캐치티니핑 티니핑 페이스 봉제 키링, 8cm, 랜덤발송, 1개","7,500원","5,630원","5,630원",로켓배송,도착 보장,Y,,281원,,https://www.coupang.com/vp/products/9015825078?itemId=26430974817&vendorItemId=93416587232&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=22&rank=22,
키링,23,"유령 인형 찾기 랜덤 키링 12개(박스) 홀더 핸드폰 가방 열쇠 고리 친구 단체 선물, 1세트, 랜덤12개","36,000원","28,800원","28,800원",로켓배송,도착 보장,Y,,"1,440원",,https://www.coupang.com/vp/products/8642235542?itemId=25080856374&vendorItemId=92084758101&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=23&rank=23,
키링,24,"핑구 보따리 스탠딩 인형 가방고리, 10cm, 블랙, 1개","8,000원","7,200원","7,200원",로켓배송,도착 보장,Y,,360원,,https://www.coupang.com/vp/products/8659897074?itemId=25135386869&vendorItemId=93041854518&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=24&rank=24,
키링,25,"산리오 키체인 펜던트 악세사리 여자친구 선물 6종 세트, 1세트, 혼합","15,000원","9,700원","9,700원",로켓배송,도착 보장,N,,485원,,https://www.coupang.com/vp/products/8943271714?itemId=26156927347&vendorItemId=93136823664&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=25&rank=25,
키링,26,"생활양식 1+1 자동차 명품 가죽 키링 블랙, 2개","13,000원","4,900원","4,900원",,도착 예정,Y,,490원,,https://www.coupang.com/vp/products/1228378654?itemId=2220717555&vendorItemId=70218407300&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=26&rank=26,
키링,27,"주문제작 주차번호판키링 열쇠고리 스마트키홀더 자동차키링 키홀더, 개별디자인, 도담체, 기본패키지","9,860원","7,020원","7,020원",,도착 예정,Y,,351원,,https://www.coupang.com/vp/products/7298044393?itemId=18668397928&vendorItemId=85802807717&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=27&rank=27,
키링,28,(정품) 멜빵 그로밋 인형 키링,"17,500원","16,600원","16,600원",로켓배송,도착 보장,N,,830원,,https://www.coupang.com/vp/products/8322537167?itemId=24023008160&vendorItemId=91043520475&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=28&rank=28,
키링,29,"도림 후드 곰돌이 키링 2p, 1세트, 블랙+브라운","19,900원","9,900원","9,900원",로켓배송,도착 보장,N,,495원,,https://www.coupang.com/vp/products/7420572245?itemId=19248200862&vendorItemId=86364015487&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=29&rank=29,
키링,30,"리틀버니 랜덤 키링 18개(박스) 키홀더 다이어리 핸드폰 가방 열쇠 고리 친구 단체 선물, 1세트, 박스","36,000원","27,350원","27,350원",로켓배송,도착 보장,Y,,"1,368원",,https://www.coupang.com/vp/products/8390294446?itemId=24252794744&vendorItemId=91269662510&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=30&rank=30,
키링,31,[공식정품] 와사비베어 (브라운) 키링 8cm 브라운베어,,"10,800원","10,800원",로켓배송,도착 보장,N,,540원,,https://www.coupang.com/vp/products/9125583507?itemId=26846331884&vendorItemId=93821797791&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=31&rank=31,
키링,32,"PKFARM 네잎클로버 행운키링 열쇠고리 키홀더, 단품, 2세트","14,670원","3,300원","3,300원",로켓배송,도착 보장,N,,330원,,https://www.coupang.com/vp/products/8291595623?itemId=23913120076&vendorItemId=91355544536&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=32&rank=32,
