Keyword,Rank,Name,OriginalPrice,FinalPrice,RocketBadge,Arrival,FreeShipping,ReviewCount,Points,StockStatus,Link,ImgUrl
스카프,1,온더레드 여성 패션 사각스카프 2종 세트 스카프링 포함,"25,000원","8,700원",판매자로켓,내일(목) 도착 보장,N,688,435원,,https://www.coupang.com/vp/products/8095654161?itemId=22884735637&vendorItemId=86902551669&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=1&rank=1,
스카프,2,우아한클릭 여성 1+1 쁘띠 봄 미니 자석 스카프,"19,800원","7,800원",,모레(금) 도착 예정,Y,233,390원,,https://www.coupang.com/vp/products/8591777966?itemId=24911780988&vendorItemId=91795327934&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=2&rank=2,
스카프,3,아펙토 여성용 봄가을 데일리 프리미 스카프 2종 세트,"6,900원","3,990원",로켓배송,내일(목) 도착 보장,Y,24,200원,,https://www.coupang.com/vp/products/8844406635?itemId=25779070020&vendorItemId=92767020542&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=3&rank=3,
스카프,,베네피센트 사각 고급 스카프 2종 세트,"24,000원","9,800원",판매자로켓,내일(목) 도착 보장,N,257,490원,,https://www.coupang.com/vp/products/7827734880?itemId=21281218848&vendorItemId=88341319300&sourceType=srp_product_ads&clickEventId=05d460d0-bfac-11f0-8350-74d595ea193d&korePlacement=15&koreSubPlacement=5&clickEventId=05d460d0-bfac-11f0-8350-74d595ea193d&korePlacement=15&koreSubPlacement=5,
스카프,,4종1세트 여성 쁘띠 실크 스카프 70x70cm,"23,900원","14,800원",판매자로켓,내일(목) 도착 보장,N,131,740원,,https://www.coupang.com/vp/products/8373602077?itemId=24197091009&vendorItemId=91214724437&sourceType=srp_product_ads&clickEventId=05d460d0-bfac-11f0-bf73-3e901e089e96&korePlacement=15&koreSubPlacement=6&clickEventId=05d460d0-bfac-11f0-bf73-3e901e089e96&korePlacement=15&koreSubPlacement=6,
스카프,4,JANE 여성 쁘띠 사각 스카프 2종 세트,"22,000원","9,800원",판매자로켓,내일(목) 도착 보장,N,755,490원,,https://www.coupang.com/vp/products/7830132859?itemId=21294104213&vendorItemId=93846024039&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=6&rank=6,
스카프,5,바바 프리미엄 자석버클 쁘띠 사각 스카프,"19,900원","6,900원",판매자로켓,내일(목) 도착 보장,N,392,345원,,https://www.coupang.com/vp/products/8539533282?itemId=24722952747&vendorItemId=91733949629&pickType=COU_PICK&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=7&rank=7,
스카프,,"[TV홈쇼핑정품 인포벨]앙드레김 실크핏 전주링 원터치 스카프 자석 마그네틱 가을 부모님 파리 스카피 머플러, 오션 화이트+플라워 그린+홀스 브라운, 1세트",,"29,900원",,11/15(토) 도착 예정,Y,23,"1,495원",,https://www.coupang.com/vp/products/9136232463?itemId=26888956257&vendorItemId=93838551187&sourceType=srp_product_ads&clickEventId=05d460d0-bfac-11f0-a178-41500eb34dfb&korePlacement=15&koreSubPlacement=9&clickEventId=05d460d0-bfac-11f0-a178-41500eb34dfb&korePlacement=15&koreSubPlacement=9,
스카프,6,메리앤유 소프트 코튼 소재 칼라풀 무지 롱 스카프 국산,"25,000원","13,800원",판매자로켓,내일(목) 도착 보장,N,58,690원,,https://www.coupang.com/vp/products/8998212185?itemId=26366507688&vendorItemId=91601565788&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=9&rank=9,
스카프,,허블리 여성 부드러운 사각 스카프 머플러 4종세트,"30,000원","12,900원",판매자로켓,내일(목) 도착 보장,N,26,645원,,https://www.coupang.com/vp/products/9066483209?itemId=26624956505&vendorItemId=93603392173&sourceType=srp_product_ads&clickEventId=05d460d0-bfac-11f0-b676-dd33e8a0d04f&korePlacement=15&koreSubPlacement=11&clickEventId=05d460d0-bfac-11f0-b676-dd33e8a0d04f&korePlacement=15&koreSubPlacement=11,
